Rating_point,Features,Price,Discount,Pagenum,Ratings,reviews,BrandName
4.0,HD Ready | LED,4499,11000,11,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,11,14871,827,XIAOMI
4.0,Ultra HD (4K) | QLED,36999,68999,11,113,22,Lumio
3.7,Full HD | LED,8099,19990,11,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,11,16,0,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,11,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,27999,40999,11,113,22,Lumio
3.9,HD Ready | LED,10490,28990,11,453,44,Reliance
3.7,HD Ready | LED,11990,29990,11,30,1,Reliance
4.1,HD Ready | LED,5499,9990,12,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,12,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,12,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,12,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,12,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,12,60,5,Reliance
3.8,HD Ready | LED,6399,16999,12,6,0,VW
3.9,HD Ready | QLED,6899,11999,12,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,12,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,12,973,124,KODAK
4.1,HD Ready | LED,6299,9999,12,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,12,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,12,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,12,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,12,172,30,VW
3.7,Full HD | LED,8099,19990,12,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,12,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,12,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,12,16,0,Reliance
3.9,HD Ready | LED,10490,28990,12,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,12,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,12,113,22,Lumio
3.7,HD Ready | LED,11990,29990,12,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,12,844,160,VW
4.1,HD Ready | LED,5499,9990,13,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,13,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,13,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,13,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,13,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,13,60,5,Reliance
4.0,HD Ready | LED,4999,12999,13,5653,674,Foxsky
3.8,HD Ready | LED,6399,16999,13,6,0,VW
3.9,HD Ready | QLED,6899,11999,13,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,13,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,13,973,124,KODAK
4.1,HD Ready | LED,6299,9999,13,13638,1318,KODAK
4.0,HD Ready | LED,5290,19990,13,333,39,Uniboom
4.0,HD Ready | LED,5190,19990,13,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,13,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,13,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,13,14871,827,XIAOMI
4.0,Ultra HD (4K) | QLED,36999,68999,13,113,22,Lumio
3.7,Full HD | LED,8099,19990,13,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,13,16,0,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,13,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,27999,40999,13,113,22,Lumio
3.9,HD Ready | LED,10490,28990,13,453,44,Reliance
3.7,HD Ready | LED,11990,29990,13,30,1,Reliance
4.1,HD Ready | LED,5499,9990,14,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,14,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,14,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,14,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,14,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,14,60,5,Reliance
3.8,HD Ready | LED,6399,16999,14,6,0,VW
3.9,HD Ready | QLED,6899,11999,14,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,14,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,14,973,124,KODAK
4.1,HD Ready | LED,6299,9999,14,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,14,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,14,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,14,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,14,172,30,VW
3.7,Full HD | LED,8099,19990,14,1358,127,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,14,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,36999,68999,14,113,22,Lumio
3.9,HD Ready | LED,8990,21490,14,16,0,Reliance
3.9,HD Ready | LED,10490,28990,14,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,14,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,43999,84999,14,42,4,PHILIPS
3.7,HD Ready | LED,11990,29990,14,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,14,844,160,VW
4.1,HD Ready | LED,5499,9990,15,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,15,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,15,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,15,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,15,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,15,60,5,Reliance
3.8,HD Ready | LED,6399,16999,15,6,0,VW
3.9,HD Ready | QLED,6899,11999,15,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,15,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,15,973,124,KODAK
4.1,HD Ready | LED,6299,9999,15,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,15,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,15,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,15,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,15,172,30,VW
3.7,Full HD | LED,8099,19990,15,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,15,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,15,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,15,16,0,Reliance
3.9,HD Ready | LED,10490,28990,15,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,15,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,15,113,22,Lumio
3.7,HD Ready | LED,11990,29990,15,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,15,844,160,VW
4.1,HD Ready | LED,5499,9990,16,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,16,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,16,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,16,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,16,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,16,60,5,Reliance
3.8,HD Ready | LED,6399,16999,16,6,0,VW
3.9,HD Ready | QLED,6899,11999,16,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,16,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,16,973,124,KODAK
4.1,HD Ready | LED,6299,9999,16,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,16,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,16,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,16,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,16,172,30,VW
3.7,Full HD | LED,8099,19990,16,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,16,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,16,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,16,16,0,Reliance
3.9,HD Ready | LED,10490,28990,16,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,16,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,16,113,22,Lumio
3.7,HD Ready | LED,11990,29990,16,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,16,844,160,VW
4.1,HD Ready | LED,5499,9990,17,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,17,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,17,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,17,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,17,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,17,60,5,Reliance
4.0,HD Ready | LED,4999,12999,17,5653,674,Foxsky
3.8,HD Ready | LED,6399,16999,17,6,0,VW
3.9,HD Ready | QLED,6899,11999,17,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,17,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,17,973,124,KODAK
4.1,HD Ready | LED,6299,9999,17,13638,1318,KODAK
4.0,HD Ready | LED,5290,19990,17,333,39,Uniboom
4.0,HD Ready | LED,5190,19990,17,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,17,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,17,172,30,VW
4.0,Ultra HD (4K) | QLED,40990,69990,17,14871,827,XIAOMI
4.4,Ultra HD (4K) | Mini LED,58999,99999,17,42,4,PHILIPS
3.7,Full HD | LED,8099,19990,17,1358,127,Reliance
3.9,HD Ready | LED,8990,21490,17,16,0,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,17,113,22,Lumio
4.0,Ultra HD (4K) | QLED,27999,40999,17,113,22,Lumio
3.9,HD Ready | LED,10490,28990,17,453,44,Reliance
3.7,HD Ready | LED,11990,29990,17,30,1,Reliance
4.1,HD Ready | LED,5499,9990,18,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,18,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,18,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,18,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,18,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,18,60,5,Reliance
3.8,HD Ready | LED,6399,16999,18,6,0,VW
3.9,HD Ready | QLED,6899,11999,18,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,18,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,18,973,124,KODAK
4.1,HD Ready | LED,6299,9999,18,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,18,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,18,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,18,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,18,172,30,VW
3.7,Full HD | LED,8099,19990,18,1358,127,Reliance
4.0,Ultra HD (4K) | QLED,36999,68999,18,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,58999,99999,18,42,4,PHILIPS
3.9,HD Ready | LED,8990,21490,18,16,0,Reliance
3.9,HD Ready | LED,10490,28990,18,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,18,113,22,Lumio
4.0,Ultra HD (4K) | QLED,32999,58999,18,113,22,Lumio
3.7,HD Ready | LED,11990,29990,18,30,1,Reliance
3.9,HD Ready | QLED,7599,18999,18,844,160,VW
4.1,HD Ready | LED,5499,9990,19,17320,3207,Foxsky
4.0,HD Ready | LED,5990,22990,19,4887,516,Uniboom
4.0,HD Ready | LED,6090,22990,19,333,39,Uniboom
3.8,HD Ready | LED,6899,11999,19,186,21,Blaupunkt
3.7,HD Ready | LED,6990,14990,19,1358,127,Reliance
3.5,HD Ready | LED,6990,14999,19,60,5,Reliance
3.8,HD Ready | LED,6399,16999,19,6,0,VW
3.9,HD Ready | QLED,6899,11999,19,9019,843,Thomson
4.3,HD Ready | LED,6299,9999,19,51006,6399,Thomson
3.8,HD Ready | QLED,6899,11499,19,973,124,KODAK
4.1,HD Ready | LED,6299,9999,19,13638,1318,KODAK
4.0,Ultra HD (4K) | QLED,40990,69990,19,14871,827,XIAOMI
4.0,HD Ready | LED,5190,19990,19,4887,516,Uniboom
4.2,HD Ready | LED,5199,15000,19,11628,853,MarQ
4.0,HD Ready | LED,4499,11000,19,172,30,VW
3.7,Full HD | LED,8099,19990,19,1358,127,Reliance
4.4,Ultra HD (4K) | Mini LED,58999,99999,19,42,4,PHILIPS
4.0,Ultra HD (4K) | QLED,36999,68999,19,113,22,Lumio
3.9,HD Ready | LED,8990,21490,19,16,0,Reliance
3.9,HD Ready | LED,10490,28990,19,453,44,Reliance
4.0,Ultra HD (4K) | QLED,27999,40999,19,113,22,Lumio
4.4,Ultra HD (4K) | Mini LED,43999,84999,19,42,4,PHILIPS
3.7,HD Ready | LED,11990,29990,19,30,1,Reliance
